name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Autocaravana capucino,Fernão Ferro,"5,0",15,75,6,6,B,autorizada,autorizados,Fiat Ducato,2010,"3.500,0 kg",Diesel,"100-150,000 km","100,0","750,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana Perfilada,Leiria,"5,0",6,66,4,4,B,sob pedido,autorizados,Hymer Eriba,2003,"3.400,0 kg",Diesel,0-15000 km,"80,0","850,00","Dinheiro, Outros, Cartão De Crédito, Transferência",não fumadora,2022
Autocaravana capucino,Ericeira,"5,0",3,80,6,4,B,não autorizadas,autorizados,Adria Fiat,1999,"3.200,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",4,45,3,3,B,autorizada,autorizados,Fiat Fiat 242,1981,"3.470,0 kg",Diesel,Desconhecido,"60,0","500,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Integral,Nazare,"5,0",4,75,2,2,B,sob pedido,sob pedido,Lmc Liberty,2011,"3.500,0 kg",Diesel,30-50000 km,"90,0","1 000,00",Transferência,não fumadora,2022
Autocaravana capucino,Santo Isidro de Pegões,"5,0",5,70,6,6,B,sob pedido,autorizados,"Dethleffs Ducato 2,5 TD",1995,"3.500,0 kg",Diesel,"100-150,000 km","70,0","700,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Lisboa,"5,0",1,55,4,4,B,sob pedido,autorizados,Bürstner T615 privilege,2003,"3.400,0 kg",Diesel,75-100000 km,"60,0","900,00","Dinheiro, Outros",não fumadora,2023
Campervan,Santo António Dos Cavaleiros,"5,0",21,39,3,3,B,sob pedido,não autorizados,RoadCampers Berlingo,2017,"2.140,0 kg",Diesel,15-30000 km,"50,0","1 750,00",Cartão De Crédito,não fumadora,2019
Autocaravana capucino,Lisboa,"5,0",14,65,6,4,B,sob pedido,autorizados,Joint e33,2005,"3.000,0 kg",Diesel,"100-150,000 km","70,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2020
Furgão transformado,Igreja Nova,"5,0",8,50,3,2,B,não autorizadas,não autorizados,"Citroën Jumper 2,2 l 120 ch",2006,"3.300,0 kg",Diesel,"200-250,000 km","60,0","800,00","Dinheiro, Transferência, Outros",fumadora,2022
Autocaravana capucino,Lisboa,"5,0",1,60,5,4,B,não autorizadas,sob pedido,Benimar Europe 6000 LD,2004,"3.500,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Outros",não fumadora,2023
Campervan,Lisboa,"5,0",2,70,2,2,B,sob pedido,autorizados,Volkswagen Volkswagen T3,1983,"1.800,0 kg",Diesel,75-100000 km,"50,0","500,00","Cartão De Crédito, Dinheiro, Transferência, Outros",sob pedido,2023
Autocaravana capucino,Quinta do Conde,"4,5",9,65,5,5,B,não autorizadas,sob pedido,Fiat ducato Mobilets,2006,"3.080,0 kg",Diesel,50-75000 km,"80,0","800,00","Dinheiro, Transferência",sob pedido,2021
Autocaravana capucino,Encarnação,"5,0",5,65,6,6,B,não autorizadas,não autorizados,Auto-Roller Ducato 2.8,2002,"3.500,0 kg",Diesel,75-100000 km,"70,0","1 000,00",Transferência,sob pedido,2022
Autocaravana capucino,Monte Real,"5,0",1,83,4,6,B,sob pedido,sob pedido,RIVIERA 65  XL Transit 2.5 D,1995,"2.720,0 kg",Diesel,"100-150,000 km","75,0","650,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Azambuja,"5,0",1,85,7,3,B,sob pedido,não autorizados,Volkswagen Multivan,1997,"2.680,0 kg",Diesel,Desconhecido,"80,0","600,00",Dinheiro,não fumadora,2022
Autocaravana Perfilada,Almargem do Bispo,"5,0",3,100,5,6,B,não autorizadas,sob pedido,"Benimar Ducato 2,8l 127cv jtd Alko",2004,"3.500,0 kg",Diesel,50-75000 km,"75,0","1 250,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Lisboa,"5,0",3,44,2,2,B,sob pedido,sob pedido,Ford,1992,"2.900,0 kg",Diesel,Desconhecido,"60,0","600,00","Transferência, Dinheiro",sob pedido,2022
Autocaravana capucino,Setúbal,"5,0",2,80,6,6,B,sob pedido,autorizados,Adria Fiat Weinsberg,2008,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Sacavém,"5,0",4,60,3,2,B,não autorizadas,sob pedido,Ford Transit,1980,"2.575,0 kg",Diesel,Desconhecido,"60,0","600,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Colares,"5,0",2,45,3,3,B,sob pedido,autorizados,Custo Van Transporter,2008,"2.800,0 kg",Diesel,Mais 250.000 km,"85,0","700,00","Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana Integral,Oeiras,"5,0",3,70,4,4,B,sob pedido,não autorizados,Hymer 574,1997,"3.200,0 kg",Diesel,Desconhecido,"60,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Azeitão,"5,0",1,60,5,5,B,sob pedido,autorizados,Challenger Fiat ducato 2.8l JTD,2002,"3.400,0 kg",Diesel,75-100000 km,"70,0","1 000,00","Dinheiro, Transferência",não fumadora,2023
Autocaravana capucino,Santo Isidoro    MFR,"5,0",2,55,5,5,B,não autorizadas,não autorizados,Roller Team IVECO,2002,"3.500,0 kg",Diesel,30-50000 km,"90,0","950,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Lisboa,"5,0",5,70,3,2,B,sob pedido,autorizados,Renault Kangoo,2018,"2.200,0 kg",Diesel,30-50000 km,"75,0","1 250,00","Transferência, Cartão De Crédito",sob pedido,2021
Campervan,Lisboa,"5,0",3,50,2,2,B,sob pedido,autorizados,"Citroën Jumper 1,6 l 95 ch",1996,"2.800,0 kg",Diesel,"200-250,000 km","100,0","500,00","Dinheiro, Transferência, Outros",sob pedido,2022
Furgão transformado,Lisboa,"5,0",1,63,3,3,B,sob pedido,autorizados,"Nomad-Addict Jumper 2,2 l 120ch",2006,"3.500,0 kg",Diesel,150-200000 km,"80,0","990,00",Dinheiro,fumadora,2023
Autocaravana capucino,Lisboa,"5,0",3,78,4,4,B,sob pedido,sob pedido,Sky Fiat Ducato,2004,"2.900,0 kg",Diesel,30-50000 km,"60,0","750,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Caldas da Rainha,"4,5",15,55,4,6,B,sob pedido,não autorizados,Dethleffs I532,1993,"3.100,0 kg",Diesel,"200-250,000 km","60,0","600,00","Transferência, Cartão De Crédito",não fumadora,2021
Campervan,Lisboa,"5,0",4,60,2,2,B,sob pedido,sob pedido,VW VW T4,1994,"2.775,0 kg",Diesel,De 10 a 12 l / 100 km,"60,0","700,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"5,0",4,65,3,2,B,sob pedido,não autorizados,VW Transporter,1982,"2.600,0 kg",Diesel,"100-150,000 km","50,0","700,00","Dinheiro, Transferência",fumadora,2022
Campervan,Loures,"5,0",1,83,6,6,B,não autorizadas,autorizados,Fiat DUCATO,1993,"3.100,0 kg",Diesel,"200-250,000 km","90,0","500,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Santo António dos Cavaleiros,"5,0",6,40,2,2,B,sob pedido,autorizados,RoadCampers Dacia Dokker,2019,"1.930,0 kg",Diesel,Desconhecido,"40,0","1 750,00",Cartão De Crédito,não fumadora,2019
Autocaravana Perfilada,Lisboa,"5,0",2,70,4,4,B,autorizada,não autorizados,Roller Team Fiat Weinsberg,2001,"3.200,0 kg",Diesel,75-100000 km,"80,0","800,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Leiria,"5,0",3,50,2,2,B,autorizada,autorizados,Nissan Vanette,1991,"2.510,0 kg",Diesel,150-200000 km,"38,0","400,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",4,39,3,3,B,autorizada,autorizados,"Ford Transit 2,5 l TDCi 140 ch.",1996,"2.900,0 kg",Diesel,Mais 250.000 km,"60,0","600,00","Dinheiro, Transferência",fumadora,2021
Furgão transformado,Torres Novas,"5,0",7,70,4,4,B,não autorizadas,não autorizados,Fiat Jumper,2007,"3.500,0 kg",Diesel,Desconhecido,"80,0","600,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Costa da Caparica,"5,0",2,89,4,2,B,não autorizadas,não autorizados,"Citroën Jumper 2,2 l Blue HDI 165 PS",2020,"2.956,0 kg",Diesel,15-30000 km,"80,0","1 500,00",Transferência,não fumadora,2022
Furgão transformado,Sobreda,"4,5",6,65,3,3,B,não autorizadas,autorizados,Volkswagen SYNCRO 4x4 ADVENTURE,1993,"2.810,0 kg",Diesel,Desconhecido,"80,0","1 250,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana Integral,Alcobaça,"5,0",1,70,4,4,B,sob pedido,sob pedido,Pilote G692,2006,"3.500,0 kg",Diesel,75-100000 km,"75,0","800,00","Dinheiro, Transferência",não fumadora,2023
Furgão transformado,Lisboa,"5,0",6,59,4,3,B,não autorizadas,sob pedido,Ford Transit 100L,1995,"2.900,0 kg",Diesel,Mais 250.000 km,"60,0","350,00","Dinheiro, Outros",não fumadora,2019
Outro,Loures,"5,0",2,45,5,3,B,não autorizadas,autorizados,Ford Focus,2006,"1.880,0 kg",Diesel,"200-250,000 km","70,0","500,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Pinhal Novo (Palmela),"4,0",1,49,3,2,B,sob pedido,autorizados,Fiat Ducato Maxi 2.5D,1991,"3.500,0 kg",Diesel,50-75000 km,"80,0","500,00",Dinheiro,não fumadora,2023
Furgão transformado,Belas,"5,0",2,55,3,3,B,não autorizadas,não autorizados,Fiat Ducato 2.8 Idti,2000,"3.500,0 kg",Diesel,Mais 250.000 km,"60,0","800,00","Cartão De Crédito, Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Sacavém,"5,0",1,65,6,3,B,não autorizadas,sob pedido,Volkswagen Volkswagen T5,2004,"2.900,0 kg",Diesel,Mais 250.000 km,"70,0","500,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"4,5",6,100,4,3,B,sob pedido,autorizados,Benimar 145,2021,"3.500,0 kg",Diesel,0-15000 km,"80,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",sob pedido,2022
Autocaravana capucino,Carnaxide,"5,0",1,58,6,4,B,não autorizadas,autorizados,Bürstner,1996,"3.100,0 kg",Diesel,150-200000 km,"60,0","650,00","Dinheiro, Transferência",não fumadora,2023
Furgão transformado,Colmeias,"5,0",1,90,4,5,B,sob pedido,não autorizados,"Fiat Ducato 3,0 l 180 ch",2015,"3.500,0 kg",Diesel,"100-150,000 km","120,0","300,00","Transferência, Dinheiro, Outros",não fumadora,2023
Autocaravana capucino,Leiria,"4,5",7,65,4,4,B,sob pedido,não autorizados,Elnagh,1994,"2.720,0 kg",Diesel,75-100000 km,"50,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2022
Furgão transformado,Lisboa,"5,0",1,70,3,3,B,sob pedido,autorizados,Iveco Daily 35C15,2013,"3.150,0 kg",Diesel,"200-250,000 km","90,0","500,00","Dinheiro, Transferência, Outros",não fumadora,2023
Autocaravana Perfilada,Montijo,"5,0",1,65,6,3,B,sob pedido,autorizados,Andrade Rigel 950,2004,"3.500,0 kg",Diesel,"100-150,000 km","80,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2023
Furgão transformado,Cascais,"5,0",1,110,4,4,B,sob pedido,autorizados,Mercedes,1985,"2.810,0 kg",Diesel,Mais 250.000 km,"70,0","700,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Amadora,"4,0",8,60,6,5,B,autorizada,não autorizados,Sunlight A58,2010,"3.495,0 kg",Diesel,"100-150,000 km","50,0","800,00","Transferência, Dinheiro",não fumadora,2021
Furgão transformado,Santa Iria de Azoia,"5,0",3,60,4,4,B,não autorizadas,autorizados,Fiat Ducato 120 Multijet,2017,"3.000,0 kg",Diesel,150-200000 km,"80,0","1 000,00","Transferência, Dinheiro",não fumadora,2022
Campervan,Alcabideche,"5,0",4,55,4,2,B,não autorizadas,não autorizados,Chambel Vito 111 CDI,2007,"2.940,0 kg",Diesel,Mais 250.000 km,"70,0","900,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Fernão Ferro,"5,0",4,75,6,6,B,sob pedido,sob pedido,Moncayo Moncayo 2,2002,"3.500,0 kg",Diesel,30-50000 km,"80,0","1 250,00","Dinheiro, Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Sacavém,"4,5",2,65,2,2,B,não autorizadas,autorizados,Mercedes 207 D,1985,"2.550,0 kg",Diesel,"100-150,000 km","60,0","500,00",Dinheiro,não fumadora,2022
Campervan,Lisboa,"4,0",4,60,3,3,B,sob pedido,sob pedido,Volkswagen T4,1993,"2.775,0 kg",Diesel,"200-250,000 km","50,0","500,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"4,5",3,65,4,3,B,sob pedido,sob pedido,Trigano Eurocamp,2006,"3.500,0 kg",Diesel,"100-150,000 km","80,0","600,00",Dinheiro,não fumadora,2021
Autocaravana Perfilada,Leiria,"4,5",6,80,5,5,B,sob pedido,não autorizados,"Bavaria Ducato 2,3 l 130 ch",2014,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 000,00","Dinheiro, Outros",não fumadora,2022
Autocaravana capucino,Famões,"4,5",3,69,4,4,B,não autorizadas,não autorizados,"Sea Zehf 2,3 l 125 ch",2005,"3.400,0 kg",Diesel,50-75000 km,"90,0","800,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana Perfilada,Corroios,"4,0",1,66,4,4,B,não autorizadas,autorizados,Chausson Fiat ducato,1998,"3.200,0 kg",Diesel,150-200000 km,"60,0","700,00","Dinheiro, Transferência, Outros",não fumadora,2021
Autocaravana capucino,Amor,"4,0",1,65,6,5,B,autorizada,autorizados,Joint E 47,2005,"3.400,0 kg",Diesel,150-200000 km,"80,0","1 000,00","Dinheiro, Transferência",não fumadora,2023
Autocaravana capucino,Benedita,"4,5",2,65,6,5,B,autorizada,autorizados,Cristall Fiat,1999,"3.400,0 kg",Diesel,"100-150,000 km","60,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2022
Furgão transformado,Vendas Novas,"5,0",2,54,3,3,B,sob pedido,sob pedido,"Volkswagen Crafter 2,5 l 109 ch",2011,"3.500,0 kg",Diesel,Mais 250.000 km,"75,0","600,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Sacavém,"4,0",1,60,3,2,B,não autorizadas,não autorizados,Ford Transit,2020,"2.575,0 kg",Diesel,Desconhecido,"60,0","600,00","Dinheiro, Transferência",não fumadora,2022
Furgão transformado,Sacavém,"4,0",4,70,6,4,B,não autorizadas,autorizados,Mercedes 407,1983,"3.500,0 kg",Diesel,Mais 250.000 km,"60,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"4,0",2,60,3,4,B,sob pedido,autorizados,Karmann Mobil LT28D,1983,"3.000,0 kg",Diesel,"100-150,000 km","50,0","500,00",Dinheiro,não fumadora,2022
Autocaravana Perfilada,Atalaia,"4,0",1,100,5,5,B,sob pedido,autorizados,Benimar Mileo 242,2014,"3.500,0 kg",Diesel,"100-150,000 km","90,0","1 500,00","Transferência, Dinheiro",sob pedido,2021
Furgão transformado,Cascais,"5,0",1,55,5,4,B,sob pedido,não autorizados,Westfalia Transit nugget westfalia,1998,"2.650,0 kg",Diesel,150-200000 km,"70,0","200,00",Dinheiro,não fumadora,2023
Campervan,Lisboa,"5,0",1,50,2,2,B,autorizada,autorizados,Volkswagen Volkswagen T4,1998,"2.800,0 kg",Diesel,"200-250,000 km","80,0","700,00","Dinheiro, Transferência, Outros",não fumadora,2023
Campervan,Loures,"4,0",2,72,4,2,B,não autorizadas,autorizados,Nissan Vanette,1991,"2.510,0 kg",Diesel,75-100000 km,"60,0","500,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Loures,"5,0",1,72,3,3,B,não autorizadas,autorizados,Mercedes Vito 108D,1995,"2.600,0 kg",Diesel,"200-250,000 km","90,0","500,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Alcaria,"5,0",1,85,5,4,B,sob pedido,sob pedido,Joint E33,2005,"3.000,0 kg",Diesel,"100-150,000 km","75,0","750,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Lisboa,"4,0",1,60,6,5,B,sob pedido,sob pedido,"Fiat 2,3 l 130 ch",2006,"3.495,0 kg",Diesel,"100-150,000 km","60,0","500,00","Dinheiro, Transferência",sob pedido,2023
Furgão transformado,Lisboa,"5,0",5,55,6,4,B,não autorizadas,autorizados,Renault Master,2001,"3.500,0 kg",Diesel,Mais 250.000 km,"80,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,São Domingos de Rana,"5,0",5,70,6,6,B,não autorizadas,autorizados,"Elnagh Ducato 2,0 l 115 ch",2003,"3.400,0 kg",Diesel,150-200000 km,"80,0","800,00","Transferência, Dinheiro",não fumadora,2022
Campervan,Alverca do Ribatejo,"5,0",10,60,3,2,B,não autorizadas,não autorizados,Volkswagen Transporter,1997,"2.775,0 kg",Diesel,"200-250,000 km","80,0","500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Alfragide,"5,0",24,40,5,4,B,sob pedido,autorizados,Joint Joint 1,2007,"3.000,0 kg",Diesel,75-100000 km,"80,0","1 250,00","Dinheiro, Transferência",não fumadora,2021
Furgão transformado,Lisboa,"5,0",27,75,3,3,B,sob pedido,sob pedido,"Ford Transit 2,4 l TDCi 140 ch.",2007,"3.500,0 kg",Diesel,Mais 250.000 km,"80,0","900,00","Dinheiro, Transferência, Outros",sob pedido,2021
Autocaravana Integral,Leiria,"5,0",8,80,6,6,B,sob pedido,autorizados,Hymer 544,2000,"3.400,0 kg",Diesel,"100-150,000 km","60,0","1 000,00",Dinheiro,não fumadora,2020
Furgão transformado,Lisboa,"5,0",12,68,5,4,B,autorizada,autorizados,Westfalia James Cook,1999,"3.500,0 kg",Diesel,"200-250,000 km","85,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana capucino,Lisboa,"5,0",4,75,4,4,B,sob pedido,autorizados,Joint Joint 4,2010,"3.000,0 kg",Diesel,75-100000 km,"90,0","800,00","Transferência, Dinheiro, Outros",não fumadora,2022
Campervan,São Domingos de Rana,"5,0",21,53,3,3,B,sob pedido,autorizados,VW T4 Insurance &amp;amp; All KM incl | MyVan Portugal,1997,"2.510,0 kg",Diesel,150-200000 km,"90,0","750,00",Transferência,sob pedido,2019
Autocaravana Perfilada,Caldas da Rainha,"5,0",7,70,4,4,B,sob pedido,autorizados,Joint Luxe,2009,"3.300,0 kg",Diesel,50-75000 km,"80,0","900,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",7,85,3,3,B,não autorizadas,não autorizados,Hymer 524,2001,"3.500,0 kg",Diesel,"100-150,000 km","100,0","1 000,00",Dinheiro,não fumadora,2020
Autocaravana capucino,Lisboa,"5,0",15,50,6,7,B,sob pedido,autorizados,Sunlight A 72,2014,"3.495,0 kg",Diesel,50-75000 km,"100,0","1 500,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"5,0",21,55,3,2,B,sob pedido,autorizados,VW T4 Insurance &amp;amp; All KM incl | MyVan Portugal,2000,"2.800,0 kg",Diesel,Desconhecido,"90,0","750,00",Transferência,sob pedido,2019
Autocaravana capucino,Lisboa,"5,0",6,80,6,7,B,autorizada,autorizados,Sunlight A 72,2014,"3.495,0 kg",Diesel,50-75000 km,"120,0","1 500,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",9,65,4,4,B,sob pedido,autorizados,VW Westfalia California  Insurance &amp;amp; All KM Incl | MyVan Portugal,1995,"2.890,0 kg",Diesel,Mais 250.000 km,"90,0","750,00",Transferência,fumadora,2019
Autocaravana capucino,Lisboa,"5,0",7,75,6,6,B,sob pedido,autorizados,"Fiat 2,3 l 130 ch",2012,"3.495,0 kg",Diesel,50-75000 km,"120,0","1 500,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Carvoeira,"5,0",1,100,4,6,B,não autorizadas,autorizados,Hymer eriba-car 620,1992,"3.100,0 kg",Diesel,150-200000 km,"55,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana Perfilada,Leiria,"5,0",10,80,6,6,B,não autorizadas,não autorizados,Blucamp,2018,"3.500,0 kg",Diesel,15-30000 km,"80,0","800,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"4,5",24,60,5,6,B,sob pedido,autorizados,Fiat TRANSIT,2013,"3.500,0 kg",Diesel,75-100000 km,"120,0","1 250,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Santarém,"5,0",3,80,4,4,B,sob pedido,autorizados,"Laika Transit 2,4 l 140 ch",2007,"3.500,0 kg",Diesel,30-50000 km,"80,0","800,00",Dinheiro,sob pedido,2022
Autocaravana Perfilada,Leiria,"5,0",15,85,5,5,B,autorizada,autorizados,Challenger Challenger,2013,"3.500,0 kg",Diesel,150-200000 km,"100,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Campervan,Montijo,"5,0",5,79,4,4,B,autorizada,autorizados,Volkswagen T6 2 l 150 ch,2019,"3.000,0 kg",Diesel,0-15000 km,"70,0","1 950,00",Cartão De Crédito,não fumadora,2022
Campervan,Montijo,"5,0",4,79,4,4,B,autorizada,autorizados,Volkwagen T6 2 l 102 ch,2019,"3.000,0 kg",Diesel,Desconhecido,"70,0","1 950,00",Cartão De Crédito,não fumadora,2022
Campervan,Montijo,"5,0",5,79,4,4,B,autorizada,autorizados,Volkswagen T6 2 l 150 ch,2022,"3.000,0 kg",Diesel,De 8 a 10 L / 100 km,"70,0","1 950,00",Cartão De Crédito,não fumadora,2022
Campervan,Montijo,"5,0",2,119,4,4,B,autorizada,autorizados,Volkswagen Grand California,2020,"3.500,0 kg",Diesel,Desconhecido,"75,0","1 950,00",Cartão De Crédito,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",1,70,2,4,B,sob pedido,autorizados,Bürstner FIAT DUCATO,1992,"2.800,0 kg",Diesel,"200-250,000 km","60,0","500,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Almada,"5,0",4,40,3,3,B,sob pedido,autorizados,Hyundai,1999,"3.050,0 kg",Diesel,150-200000 km,"70,0","300,00","Dinheiro, Cheque",sob pedido,2022
Autocaravana capucino,Lisboa,"4,5",5,50,6,6,B,sob pedido,autorizados,Knaus Traveller,1992,"3.500,0 kg",Diesel,"100-150,000 km","70,0","600,00",Dinheiro,sob pedido,2022
Campervan,Lisboa,"4,5",3,40,3,2,B,não autorizadas,autorizados,Volkswagen T4,1999,"2.520,0 kg",Diesel,Desconhecido,"47,0","500,00",Dinheiro,não fumadora,2022
Campervan,Montijo,"5,0",1,119,4,4,B,autorizada,autorizados,Volkswagen Grand California,2020,"3.500,0 kg",Diesel,0-15000 km,"75,0","1 950,00",Cartão De Crédito,não fumadora,2022
Campervan,Montijo,"5,0",1,79,4,4,B,autorizada,autorizados,Volkswagen T6 2 l 102 ch,2019,"3.000,0 kg",Diesel,0-15000 km,"70,0","1 950,00",Cartão De Crédito,não fumadora,2022
Autocaravana capucino,Estoril,"4,5",2,20,6,4,B,sob pedido,sob pedido,Bürstner Fiat Ducato,1998,"3.200,0 kg",Diesel,"100-150,000 km","70,0","1 250,00","Dinheiro, Transferência",sob pedido,2023
Autocaravana capucino,Quinta do Conde,"4,5",3,60,6,6,B,não autorizadas,autorizados,Fiat ducato Ducato,1999,"3.200,0 kg",Diesel,150-200000 km,"80,0","600,00","Dinheiro, Transferência",não fumadora,2019
Furgão transformado,Lisboa,"5,0",2,130,4,4,B,não autorizadas,não autorizados,ArtCampers ZEN,2019,"3.000,0 kg",Diesel,Desconhecido,"80,0","2 000,00","Cartão De Crédito, Dinheiro, Transferência",sob pedido,2021
Campervan,Lisboa,"4,5",10,55,3,2,B,sob pedido,autorizados,VW T4 Insurance &amp;amp; All KM incl | MyVan Portugal,1999,"2.510,0 kg",Diesel,Desconhecido,"90,0","750,00",Transferência,sob pedido,2019
Furgão transformado,Oeiras,"4,5",3,55,3,2,B,sob pedido,autorizados,Citroën,1994,"3.100,0 kg",Nenhum aditivo,De 6 a 8 l / 100 km,"70,0","600,00","Dinheiro, Transferência",sob pedido,2022
Furgão transformado,Lisboa,"5,0",2,130,4,4,B,não autorizadas,autorizados,ArtCampers Endangered Species,2019,"3.000,0 kg",Diesel,Desconhecido,"80,0","2 000,00","Cartão De Crédito, Dinheiro, Transferência",sob pedido,2021
Campervan,Oeiras,"5,0",6,50,7,2,B,sob pedido,autorizados,Ford Transit 125 ch,1995,"2.830,0 kg",Diesel,15-30000 km,"55,0","600,00",Dinheiro,não fumadora,2022
Furgão transformado,Montijo,"5,0",4,89,4,4,B,autorizada,autorizados,Ducato MH2 2.3 120CV,2021,"3.000,0 kg",Diesel,0-15000 km,"70,0","1 950,00",Cartão De Crédito,não fumadora,2022
Furgão transformado,Lisboa,"5,0",1,130,4,4,B,não autorizadas,não autorizados,ArtCampers POP ART,2019,"2.000,0 kg",Diesel,Desconhecido,"80,0","2 000,00","Cartão De Crédito, Dinheiro, Transferência",sob pedido,2021
Furgão transformado,Fernão Ferro,"5,0",1,78,3,3,B,sob pedido,autorizados,"Camping-Cars Ligériens Master 2,3 l 130 ch",2012,"3.500,0 kg",Diesel,Desconhecido,"120,0","1 614,00","Cartão De Crédito, Cheque, Transferência",não fumadora,2019
Furgão transformado,Caldas da Rainha,"5,0",5,28,2,2,B,sob pedido,autorizados,Mercedes MB100d,1994,"2.800,0 kg",Diesel,150-200000 km,"60,0","500,00","Dinheiro, Outros, Transferência",sob pedido,2022
Furgão transformado,Fernão Ferro,"5,0",1,78,4,2,B,sob pedido,autorizados,Karmann Mobil,2018,"3.500,0 kg",Diesel,Desconhecido,"120,0","1 614,00","Cartão De Crédito, Cheque, Transferência",não fumadora,2019
Autocaravana Perfilada,Lisboa,"4,5",2,70,4,3,B,sob pedido,sob pedido,Challenger,2006,"3.500,0 kg",Diesel,50-75000 km,"70,0","1 500,00","Dinheiro, Outros",sob pedido,2022
Autocaravana capucino,Lisboa,"5,0",1,60,6,5,B,autorizada,autorizados,Mclouis Lagan,2003,"3.000,0 kg",Diesel,Desconhecido,"80,0","800,00","Dinheiro, Transferência, Outros",fumadora,2023
Autocaravana capucino,Lisboa,"5,0",1,60,6,6,B,autorizada,autorizados,Roller Team,2003,"3.500,0 kg",Diesel,Desconhecido,"80,0","800,00","Dinheiro, Transferência, Outros",fumadora,2023
Campervan,Sacavém,"4,5",7,65,4,2,B,não autorizadas,sob pedido,Hiace/Catiana Hiace,1988,"2.550,0 kg",Diesel,150-200000 km,"50,0","600,00","Dinheiro, Transferência",sob pedido,2022
Furgão transformado,Lisboa,"5,0",1,95,4,4,B,não autorizadas,não autorizados,ArtCampers RED,2020,"3.000,0 kg",Diesel,Desconhecido,"80,0","2 000,00","Cartão De Crédito, Dinheiro, Transferência",sob pedido,2021
Autocaravana capucino,Amadora,"5,0",3,80,6,6,B,sob pedido,sob pedido,Rimor Rimor Katamarano 2,2009,"3.500,0 kg",Diesel,50-75000 km,"70,0","1 300,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Sesimbra Castelo,"5,0",1,55,4,4,B,autorizada,autorizados,Challenger Challenger 133,2005,"3.400,0 kg",Diesel,75-100000 km,"80,0","2 000,00","Transferência, Dinheiro",não fumadora,2023
